Aaron Soni,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,CO 1,
,,
Aarun Devgan,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,CA 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 1,
,,
Aidan Costello,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,UT 3,
3x3x3 Cube Combined First Round,NV 5,
3x3x3 One-Handed Combined First Round,UT 2,
Square-1 Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 3,
,,
Akash Anand,,
Event/Round,Stage/Group,
Skewb Combined First Round,NV 2,
3x3x3 Cube Combined First Round,AZ 2,
2x2x2 Cube Combined First Round,UT 1,
,,
Albert You,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Pyraminx Combined First Round,CA 2,
3x3x3 Cube Combined First Round,CA 1,
5x5x5 Cube Combined First Round,0,
,,
Alex Davani,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
3x3x3 Multi-Blind,HI 1,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,AZ 1,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,CO 1,
3x3x3 Cube Combined First Round,UT 2,
4x4x4 Blindfolded,HI 3,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,NV 4,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Alex Johnson,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 3,
3x3x3 Cube Combined First Round,CO 5,
2x2x2 Cube Combined First Round,CO 4,
5x5x5 Cube Combined First Round,UT 2,
,,
Alex Vogel,,
Event/Round,Stage/Group,
Skewb Combined First Round,CA 1,
3x3x3 Cube Combined First Round,NV 2,
2x2x2 Cube Combined First Round,AZ 1,
,,
Alex Yang,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 2,
Megaminx Combined First Round,UT 3,
6x6x6 Cube Combined Final Round,UT 1,
Skewb Combined First Round,AZ 3,
Pyraminx Combined First Round,CO 2,
3x3x3 Cube Combined First Round,AZ 4,
3x3x3 One-Handed Combined First Round,AZ 2,
Square-1 Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 3,
5x5x5 Cube Combined First Round,NV 1,
,,
Alexander Tenev,,
Event/Round,Stage/Group,
Skewb Combined First Round,CA 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 1,
,,
Andrew Nathenson,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
3x3x3 Multi-Blind,HI 3,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,CA 4,
Pyraminx Combined First Round,CA 3,
3x3x3 Cube Combined First Round,CA 1,
4x4x4 Blindfolded,HI 2,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,AZ 2,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Ansuman Somasundaram,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
3x3x3 Cube Combined First Round,CA 4,
5x5x5 Cube Combined First Round,0,
,,
Ant Irizarry,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 3,
Megaminx Combined First Round,CO 1,
6x6x6 Cube Combined Final Round,CO 2,
7x7x7 Cube Combined Final Round,NV 1,
Pyraminx Combined First Round,UT 2,
3x3x3 Cube Combined First Round,CO 4,
3x3x3 One-Handed Combined First Round,CA 1,
2x2x2 Cube Combined First Round,UT 4,
5x5x5 Cube Combined First Round,AZ 2,
,,
Ashley Gray,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,NV 3,
2x2x2 Cube Combined First Round,CO 1,
,,
Austin Chen,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,AZ 3,
3x3x3 Cube Combined First Round,CA 5,
3x3x3 One-Handed Combined First Round,CA 2,
2x2x2 Cube Combined First Round,UT 4,
,,
Ben Lemkin,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,CO 3,
2x2x2 Cube Combined First Round,UT 2,
,,
Benson Zou,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,UT 4,
3x3x3 One-Handed Combined First Round,AZ 2,
,,
Bill McGaugh,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 2,
3x3x3 Cube Combined First Round,NV 2,
3x3x3 Blindfolded Round 1,CA 1,
,,
Brandon Harnish,,
Event/Round,Stage/Group,
Square-1 Combined First Round,0,
3x3x3 Blindfolded Round 1,0,
,,
Brandon Lin,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,CA 1,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,UT 3,
3x3x3 Cube Combined First Round,UT 3,
4x4x4 Blindfolded,HI 1,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,CO 2,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Brian Rock,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,AZ 2,
,,
Bryden Rey Mendoza,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 2,
Megaminx Combined First Round,UT 3,
3x3x3 Cube Combined First Round,CO 3,
3x3x3 One-Handed Combined First Round,CO 1,
Square-1 Combined First Round,CA 1,
2x2x2 Cube Combined First Round,AZ 1,
5x5x5 Cube Combined First Round,AZ 1,
,,
Caelen Fry,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,CO 1,
3x3x3 Cube Combined First Round,CA 2,
2x2x2 Cube Combined First Round,CA 2,
,,
Calix Tang,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 3,
6x6x6 Cube Combined Final Round,CO 1,
3x3x3 Cube Combined First Round,UT 5,
3x3x3 One-Handed Combined First Round,AZ 2,
2x2x2 Cube Combined First Round,UT 3,
5x5x5 Cube Combined First Round,CA 1,
,,
Calvin K. Smith,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 1,
Pyraminx Combined First Round,AZ 2,
3x3x3 Cube Combined First Round,CO 3,
3x3x3 One-Handed Combined First Round,UT 2,
2x2x2 Cube Combined First Round,NV 2,
,,
Calvin Le,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,CA 2,
,,
Calvin Nielson,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
3x3x3 Multi-Blind,HI 1,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,NV 2,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,NV 3,
3x3x3 Cube Combined First Round,UT 4,
4x4x4 Blindfolded,HI 1,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,UT 1,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Cary Huang,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,CA 3,
5x5x5 Blindfolded,HI 2,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,CA 3,
3x3x3 Cube Combined First Round,CA 4,
4x4x4 Blindfolded,HI 1,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,CA 2,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Charlie Heffernan,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 2,
Skewb Combined First Round,AZ 3,
Pyraminx Combined First Round,UT 2,
3x3x3 Cube Combined First Round,CO 4,
3x3x3 One-Handed Combined First Round,CA 1,
2x2x2 Cube Combined First Round,AZ 3,
,,
Chase Pehrson,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,UT 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,CA 1,
,,
Chia-Wei Lu,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 1,
Megaminx Combined First Round,UT 2,
3x3x3 Multi-Blind,HI 3,
Pyraminx Combined First Round,CA 3,
3x3x3 Cube Combined First Round,CA 4,
3x3x3 One-Handed Combined First Round,NV 1,
2x2x2 Cube Combined First Round,CA 2,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Christian Martin,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,AZ 3,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,UT 3,
3x3x3 Cube Combined First Round,AZ 2,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,CA 2,
5x5x5 Cube Combined First Round,0,
,,
Christopher Yen,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Skewb Combined First Round,CA 1,
3x3x3 Cube Combined First Round,CA 4,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,CA 4,
5x5x5 Cube Combined First Round,0,
,,
Colton Johnston,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 1,
3x3x3 Cube Combined First Round,CA 3,
3x3x3 One-Handed Combined First Round,NV 1,
2x2x2 Cube Combined First Round,CO 2,
5x5x5 Cube Combined First Round,CA 1,
,,
Daniel Lin,,
Event/Round,Stage/Group,
Skewb Combined First Round,NV 1,
5x5x5 Blindfolded,HI 1,
3x3x3 Cube Combined First Round,NV 4,
4x4x4 Blindfolded,HI 3,
3x3x3 Blindfolded Round 1,CO 1,
,,
Danny SungIn Park,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
3x3x3 Multi-Blind,HI 3,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,CA 3,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,UT 1,
3x3x3 Cube Combined First Round,CA 4,
4x4x4 Blindfolded,HI 3,
3x3x3 One-Handed Combined First Round,0,
2x2x2 Cube Combined First Round,CA 4,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Darius Vossoughi,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,UT 1,
2x2x2 Cube Combined First Round,NV 1,
,,
David Adams,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 3,
6x6x6 Cube Combined Final Round,CO 2,
7x7x7 Cube Combined Final Round,AZ 1,
3x3x3 Cube Combined First Round,AZ 5,
3x3x3 Blindfolded Round 1,CA 1,
5x5x5 Cube Combined First Round,CO 2,
,,
David Skirmont,,
Event/Round,Stage/Group,
Skewb Combined First Round,AZ 2,
3x3x3 Cube Combined First Round,UT 1,
2x2x2 Cube Combined First Round,NV 1,
,,
Dawson Lam,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 3,
Megaminx Combined First Round,UT 1,
6x6x6 Cube Combined Final Round,CO 1,
Skewb Combined First Round,AZ 3,
7x7x7 Cube Combined Final Round,AZ 1,
Pyraminx Combined First Round,AZ 1,
3x3x3 Cube Combined First Round,AZ 4,
3x3x3 One-Handed Combined First Round,UT 1,
2x2x2 Cube Combined First Round,CO 2,
5x5x5 Cube Combined First Round,CO 1,
,,
Derek Ono,,
Event/Round,Stage/Group,
Skewb Combined First Round,CA 2,
Pyraminx Combined First Round,AZ 2,
3x3x3 Cube Combined First Round,AZ 2,
2x2x2 Cube Combined First Round,UT 2,
,,
Devin Corr-Robinett,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 3,
Megaminx Combined First Round,UT 2,
6x6x6 Cube Combined Final Round,CO 1,
Skewb Combined First Round,AZ 3,
7x7x7 Cube Combined Final Round,AZ 1,
Pyraminx Combined First Round,NV 2,
3x3x3 Cube Combined First Round,NV 5,
3x3x3 One-Handed Combined First Round,CO 2,
Square-1 Combined First Round,NV 1,
2x2x2 Cube Combined First Round,UT 3,
3x3x3 Blindfolded Round 1,CA 1,
5x5x5 Cube Combined First Round,UT 1,
,,
Diego Asencio,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 1,
Skewb Combined First Round,NV 1,
Pyraminx Combined First Round,NV 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,CA 1,
,,
Dmitri Shabes,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,AZ 1,
,,
Don Pio Salazar,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,UT 1,
,,
Edward Lin,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 3,
6x6x6 Cube Combined Final Round,CO 2,
7x7x7 Cube Combined Final Round,AZ 1,
3x3x3 Cube Combined First Round,CO 5,
3x3x3 One-Handed Combined First Round,CO 2,
5x5x5 Cube Combined First Round,CO 2,
,,
Efrem Blitz,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 3,
Megaminx Combined First Round,CO 2,
6x6x6 Cube Combined Final Round,UT 1,
Skewb Combined First Round,AZ 4,
Pyraminx Combined First Round,CO 3,
3x3x3 Cube Combined First Round,AZ 5,
3x3x3 One-Handed Combined First Round,NV 2,
Square-1 Combined First Round,CO 1,
2x2x2 Cube Combined First Round,AZ 4,
5x5x5 Cube Combined First Round,UT 2,
,,
Elijah Brown,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 3,
Megaminx Combined First Round,UT 1,
6x6x6 Cube Combined Final Round,CO 1,
Skewb Combined First Round,AZ 4,
Pyraminx Combined First Round,CO 3,
3x3x3 Cube Combined First Round,UT 5,
3x3x3 One-Handed Combined First Round,UT 2,
Square-1 Combined First Round,CA 1,
2x2x2 Cube Combined First Round,CO 4,
3x3x3 Blindfolded Round 1,CA 1,
5x5x5 Cube Combined First Round,UT 1,
,,
Elijah M. Perez,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 1,
Skewb Combined First Round,CA 2,
Pyraminx Combined First Round,UT 2,
3x3x3 Cube Combined First Round,CO 3,
3x3x3 One-Handed Combined First Round,AZ 1,
Square-1 Combined First Round,NV 1,
2x2x2 Cube Combined First Round,CO 3,
,,
Elliot Hawkins,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 2,
Skewb Combined First Round,NV 2,
Pyraminx Combined First Round,AZ 3,
3x3x3 Cube Combined First Round,UT 4,
2x2x2 Cube Combined First Round,NV 3,
,,
Eric William McGaugh,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,NV 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,CA 1,
,,
Eric Zhao,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,NV 1,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,CA 2,
3x3x3 Cube Combined First Round,NV 4,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,AZ 2,
5x5x5 Cube Combined First Round,0,
,,
Ethan Lin,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 3,
3x3x3 Cube Combined First Round,NV 5,
3x3x3 One-Handed Combined First Round,UT 2,
2x2x2 Cube Combined First Round,NV 4,
5x5x5 Cube Combined First Round,NV 1,
,,
Ethan Littlejohn,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 3,
Megaminx Combined First Round,UT 2,
6x6x6 Cube Combined Final Round,CO 2,
Skewb Combined First Round,NV 2,
7x7x7 Cube Combined Final Round,UT 1,
Pyraminx Combined First Round,NV 2,
3x3x3 Cube Combined First Round,AZ 5,
3x3x3 One-Handed Combined First Round,UT 2,
Square-1 Combined First Round,CA 1,
2x2x2 Cube Combined First Round,UT 3,
5x5x5 Cube Combined First Round,UT 2,
,,
Evan Mann,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 2,
Megaminx Combined First Round,UT 3,
Skewb Combined First Round,CA 4,
Pyraminx Combined First Round,CA 3,
3x3x3 Cube Combined First Round,UT 5,
3x3x3 One-Handed Combined First Round,AZ 2,
Square-1 Combined First Round,NV 1,
2x2x2 Cube Combined First Round,UT 4,
3x3x3 Blindfolded Round 1,NV 1,
,,
Gael Ian Flores,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 1,
3x3x3 Cube Combined First Round,CO 1,
3x3x3 One-Handed Combined First Round,NV 1,
2x2x2 Cube Combined First Round,AZ 1,
,,
Giovanni Lando,,
Event/Round,Stage/Group,
2x2x2 Cube Combined First Round,CA 1,
,,
Graham Siggins,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 2,
Megaminx Combined First Round,CO 1,
3x3x3 Multi-Blind,HI 3,
6x6x6 Cube Combined Final Round,UT 2,
Skewb Combined First Round,NV 4,
5x5x5 Blindfolded,HI 2,
7x7x7 Cube Combined Final Round,NV 1,
Pyraminx Combined First Round,NV 3,
3x3x3 Cube Combined First Round,AZ 5,
4x4x4 Blindfolded,HI 1,
3x3x3 One-Handed Combined First Round,CA 2,
Square-1 Combined First Round,CO 1,
2x2x2 Cube Combined First Round,AZ 4,
3x3x3 Blindfolded Round 1,CO 1,
5x5x5 Cube Combined First Round,CA 2,
,,
Henry McNamara,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,CA 2,
Megaminx Combined First Round,CO 3,
6x6x6 Cube Combined Final Round,CO 1,
